schema_version,experiment_id,study_type,candidate_status,candidate_id,parent_candidate_id,round_index,benchmark_id,candidate_hash,candidate_manifest_path,candidate_bundle_dir,prompt_bundle_id,text_model_id,vision_model_id,runtime_seconds,runtime.main_app_duration_seconds,runtime.eval_duration_seconds,runtime.total_duration_seconds,started_at,ended_at,promotion_decision,decision_reason,main_app_run_id,main_app_run_path,main_app_output_path,main_app_return_code,main_app_resolved_config_path,main_app_overlay_path,eval_output_path,eval_return_code,eval_summary_path,knob.retrieval_top_k,knob.recall_rescue_enabled,knob.whole_document_mode,knob.whole_document_max_chars,knob.style_profiles_enabled,knob.style_profiles_max_examples,knob.figure_review_enabled
1.0,compare_models_smoke,compare,failed,cand_0001,,,bench_smoke,61bb556f997d6f9ac7a7c528bef99a57bb0fffad3b84a40f3d07743b198c6658,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0001\candidate.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0001,default,qwen/qwen3.5-9b,,4254.406999999999,4254.406999999999,,4254.406999999999,2026-04-08T06:39:43.475638+00:00,2026-04-08T07:50:37.875599+00:00,not_promoted,eval_launch_failed,run_20260408_063946_jb0k8g,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0001\main\main_app_output\run_20260408_063946_jb0k8g,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0001\main,0,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0001\main\resolved_main_config.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0001\main\main_config_overlay.json,,,,6,True,False,12000,True,3,False
1.0,compare_models_smoke,compare,failed,cand_0002,,,bench_smoke,94ae1749542e436413614ec5e8bb65e55e09fc1da13990ee01f0043fbfd3d22d,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0002\candidate.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0002,default,google/gemma-4-26b-a4b,,300.765999999996,300.765999999996,,300.765999999996,2026-04-08T07:50:38.645575+00:00,2026-04-08T07:55:39.401189+00:00,not_promoted,main_app_launch_failed,run_20260408_075039_hah7o0,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0002\main\main_app_output\run_20260408_075039_hah7o0,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0002\main,2,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0002\main\resolved_main_config.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0002\main\main_config_overlay.json,,,,6,True,False,12000,True,3,False
1.0,compare_models_smoke,compare,failed,cand_0003,,,bench_smoke,05860c519847bf6242086933807b95b560ee66c4feed9c2580450661d48540c0,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0003\candidate.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\candidates\cand_0003,default,qwen/qwen3.5-35b-a3b,,7821.875,7821.875,,7821.875,2026-04-08T07:55:39.458037+00:00,2026-04-08T10:06:01.323760+00:00,not_promoted,eval_launch_failed,run_20260408_075540_ngzkq5,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0003\main\main_app_output\run_20260408_075540_ngzkq5,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0003\main,0,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0003\main\resolved_main_config.json,D:\code\local\extract-structured-info-from-papers-optimizer\runs\20260408_083942_compare_smoke_overnight_batch_01\experiment\runs\cand_0003\main\main_config_overlay.json,,,,6,True,False,12000,True,3,False
